"requirement","status","evidence","completion_condition","issue"
"Review local 21Verse files across the computer","complete","docs/source-inventory.md; docs/design-and-nas-inventory.md; docs/inventory/unity-projects.csv; docs/inventory/local-design-summary.csv","Local Unity, design, and document sources are inventoried and the curated repo source is documented.",""
"Review attached NAS Youssef Storage","blocked","docs/design-and-nas-inventory.md; docs/nas-review-runbook.md; docs/nas-review-checklist.md; docs/inventory/nas-access-log.csv; docs/inventory/nas-review-status.csv; tools/test-nas-access.ps1","NAS share is mounted/authenticated, candidate files are inventoried and reviewed, and every NAS status row is complete.","#1"
"Review Unity projects and select the public repo candidate","complete","docs/source-inventory.md; docs/game-design-summary.md; docs/unity-validation.md; docs/inventory/unity-projects.csv","Curated Unity project is included and batchmode scene validation passes.",""
"Complete interactive Unity/VR smoke testing","blocked","docs/unity-validation.md; docs/unity-smoke-test-checklist.md; docs/inventory/unity-smoke-test-status.csv; docs/inventory/unity-pre-smoke-status.csv; tools/export-unity-pre-smoke-status.ps1; tools/run-unity-scene-validation.ps1","Project opens interactively, README scenes are smoke-tested, XR interactions/rendering are checked, and every Unity smoke-test status row is complete.","#3"
"Resolve Unity third-party asset rights","blocked","docs/third-party-assets.md; docs/asset-removal-plan.md; docs/asset-disposition-tracker.md; docs/unity-external-imports.md; docs/public-asset-manifest.md; docs/inventory/unity-asset-audit.csv; docs/inventory/unity-risky-asset-references.csv; docs/inventory/unity-asset-replacement-worklist.csv; docs/inventory/unity-public-asset-manifest.csv; docs/inventory/unity-asset-disposition.csv; docs/inventory/unity-external-imports.csv; tools/export-unity-asset-replacement-worklist.ps1; tools/export-public-asset-manifest.ps1","Every asset disposition row has a non-pending decision, retained assets have documented rights, and Unity validation still passes.","#2"
"Review Google Drive docs decks sheets and Slides","complete_inventory_pending_exports","docs/google-drive-inventory.md; docs/google-drive-release-plan.md; docs/inventory/google-drive-21verse.csv; docs/inventory/google-drive-release-plan.csv","Only redacted public-safe derivatives are exported; private rows remain excluded.",""
"Stage open-source governance and contributor docs","complete","README.md; LICENSE; NOTICE.md; CONTRIBUTING.md; SECURITY.md; CODE_OF_CONDUCT.md; SUPPORT.md; CHANGELOG.md","Public-facing governance files are present and reviewed before visibility changes.",""
"Stage GitHub repo configuration privately","complete","docs/github-private-repo.md; docs/github-metadata.md; docs/github-tracker.md; .github/","Private repo exists, metadata is documented, issue templates and hygiene workflow are staged.",""
"Verify GitHub branch protection before public release","blocked","docs/github-branch-protection.md; docs/inventory/github-branch-protection-status.csv; docs/public-release-runbook.md; tools/test-github-branch-protection.ps1","A GitHub admin verifies main branch protection, required pull requests, required Repo Hygiene check, disabled force pushes, and disabled branch deletion.","#5"
"Keep repository private until release approval","complete_ongoing","docs/github-private-repo.md; docs/public-release-runbook.md; docs/inventory/release-audit.md","GitHub visibility remains private until the release audit has no blockers and the milestone is cleared.",""
