"folder","file_count","size_mb","license_types","evidence_files","public_release_action"
"Assets/BuildingMaterials","49","39.1","","","Replace with original or verified-redistributable materials before public release."
"Assets/Comparision2D","7","0","","","Likely project-specific; review ownership and keep if original."
"Assets/Editor","2","0","","","Project validation utility; keep."
"Assets/Fantasy Skybox FREE","261","133.5","Store","Fantasy Skybox FREE/Readme.txt; Fantasy Skybox FREE/Readme.txt.meta; Fantasy Skybox FREE/ReleaseNotes.txt; Fantasy Skybox FREE/ReleaseNotes.txt.meta","Treat as Unity Asset Store content; remove and document import unless redistribution rights are confirmed."
"Assets/Fresh_Raystore","50","4.8","Store","Fresh_Raystore/Fresh_shelving_Package.txt; Fresh_Raystore/Fresh_shelving_Package.txt.meta","Treat as Unity Asset Store content; remove and document import unless redistribution rights are confirmed."
"Assets/IdentifyingColors","26","0.5","","","Likely project-specific; review ownership and keep if original."
"Assets/Lana Studio","118","11.6","","","Confirm source and rights; replace or remove if unknown."
"Assets/Prefabs","2","0","","","Likely project-specific; review dependencies on removed assets."
"Assets/Samples","310","8.9","","","Prefer documenting Unity Package Manager sample import instead of bundling."
"Assets/Scenes","38","3.1","","","Project scenes; keep after smoke testing."
"Assets/Scripts","30","0.1","","","Project source code; keep under selected repo license."
"Assets/Settings","15","1","","","Project settings/assets; keep after review."
"Assets/Sprites","353","5","","","Review sprite ownership; keep only original or redistributable assets."
"Assets/TextMesh Pro","72","3.4","Pro; Store","","Prefer relying on UPM package; retain font license for any bundled font assets."
"Assets/VRTemplateAssets","451","73.3","Pro","","Confirm Unity template/sample redistribution terms; otherwise document template import steps."
"Assets/WOC","748","166.6","","","Confirm source and rights; replace or remove if unknown."
"Assets/XR","16","0.1","","","Project XR configuration; keep after review."
"Assets/XRI","8","0","","","Project XR interaction setup; keep after review."
