"path","unity_version","has_git","scene_count","script_count","project_version_modified"
"private_21verse_source_project_01","2022.3.25f1","True","82","22","2025-12-28T23:47:22"
"private_selected_release_source_project","2022.3.25f1","True","44","12","2025-12-28T23:45:11"
"private_21verse_prototype_01","2022.3.4f1","False","1775","128","2023-10-22T17:31:39"
"private_21verse_prototype_02","2022.3.4f1","False","9","6","2025-12-06T15:53:12"
"private_21verse_prototype_03","2022.3.4f1","False","150","11","2023-10-21T13:00:39"
"private_21verse_prototype_04","2022.3.4f1","False","16","4","2023-12-17T14:06:08"
"private_21verse_template_01","2022.3.4f1","False","391","23","2023-10-24T18:14:23"
"private_21verse_template_02","2022.3.4f1","False","171","18","2025-12-06T16:18:19"
"private_21verse_template_03","2021.3.16f1","False","81","4","2023-06-05T15:51:43"
"private_21verse_template_04","2022.3.4f1","False","81","4","2024-02-03T18:55:09"
"private_21verse_math_project_01","2022.3.4f1","False","1771","143","2025-10-06T19:56:42"
"private_21verse_math_project_02","2022.3.4f1","False","1757","139","2025-09-17T19:34:29"
"private_21verse_math_project_03","2022.3.25f1","False","1757","139","2025-09-16T00:24:22"
"private_21verse_vr_template_01","2022.3.25f1","False","36","8","2025-12-03T21:34:07"
"private_21verse_vr_template_02","2022.3.25f1","False","39","11","2025-12-03T21:34:36"
"private_21verse_vr_template_03","2022.3.25f1","False","52","5","2025-10-06T22:00:19"
"private_21verse_vr_template_04","2022.3.25f1","False","30","28","2025-10-06T21:47:09"
"private_design_project_01","2022.3.4f1","False","5","4","2023-08-14T19:27:27"
"local_unrelated_unity_marker_01","2019.4.14f1","False","0","2","2022-06-26T16:01:47"
"local_unrelated_unity_marker_02","2019.4.14f1","False","0","2","2020-11-17T16:13:49"
